,chern_simons,cusp_volume,hyperbolic_adjoint_torsion_degree,hyperbolic_torsion_degree,injectivity_radius,longitudinal_translation,meridinal_translation_imag,meridinal_translation_real,short_geodesic_imag_part,short_geodesic_real_part,Symmetry_0,Symmetry_D3,Symmetry_D4,Symmetry_D6,Symmetry_D8,Symmetry_Z/2 + Z/2,volume,signature
143949,-0.1878134310245514,12.476007757568368,0,6,0.3566263616085052,9.494946479797363,1.3139629364013672,0.0952944979071617,1.7690529823303225,0.7132527232170105,0.0,0.0,0.0,0.0,0.0,0.0,13.821141242980955,0
185101,-0.0433971062302589,22.86444526546757,0,18,0.4179860651493072,21.22747230529785,1.077115774154663,-0.7894852757453918,-2.323570728302002,0.8359721302986145,1.0,0.0,0.0,0.0,0.0,0.0,22.63325881958008,-4
227289,-0.0193093437701463,10.013094564532366,0,6,0.4531706273555755,9.484823226928713,1.0556964874267578,0.7169134020805359,2.82643461227417,0.9063412547111512,0.0,0.0,0.0,0.0,0.0,1.0,8.286316871643066,2
9641,-0.2376753091812133,19.832333849870565,0,18,0.2711007595062256,14.126211166381836,1.4039386510849,-0.7689983248710632,-2.522372007369995,0.5422015190124512,1.0,0.0,0.0,0.0,0.0,0.0,16.876806259155273,-2
180253,0.1107265502214431,25.47579457705615,0,22,0.3525978028774261,22.19115447998047,1.1480157375335691,-0.8951391577720642,-2.6353795528411865,0.7051956057548523,0.0,0.0,0.0,0.0,0.0,0.0,23.71314811706543,-4
84311,-0.0049168826080858,15.042364330055875,0,14,0.6298872232437134,11.306653022766112,1.3303993940353394,0.1959130018949508,-2.4706530570983887,1.3411422967910769,1.0,0.0,0.0,0.0,0.0,0.0,16.343551635742188,0
204594,-0.1699718236923217,20.77949856501164,0,0,0.4607961177825928,16.119394302368164,1.2890992164611816,0.0147067224606871,2.9913434982299805,0.9215922355651855,1.0,0.0,0.0,0.0,0.0,0.0,23.736820220947266,0
182758,0.0650626942515373,20.51709378860573,0,14,0.6266239285469055,15.35688591003418,1.3360191583633425,-0.0482281185686588,2.4474947452545166,1.342182755470276,1.0,0.0,0.0,0.0,0.0,0.0,22.23020362854004,0
65704,0.1816730946302414,10.70621535092306,0,6,0.2431175410747528,11.096264839172363,0.9648485779762268,0.7876983284950256,2.631150960922241,0.4862350821495056,0.0,0.0,0.0,0.0,0.0,1.0,10.639843940734863,2
127466,0.0,15.127842523388608,0,6,0.3886413872241974,10.486976623535156,1.4425361156463623,0.0,-3.069534540176392,0.7772827744483948,0.0,0.0,1.0,0.0,0.0,0.0,11.535674095153809,0
42047,-0.211409255862236,12.556354734298113,0,6,0.6207379102706909,9.148553848266602,1.3724961280822754,-0.4784235656261444,-1.776459574699402,1.2414758205413818,1.0,0.0,0.0,0.0,0.0,0.0,14.391654014587402,0
12568,0.1389756500720977,18.8658437558405,0,14,0.4986777901649475,13.729506492614746,1.374109387397766,-0.2793578505516052,3.1038472652435303,0.997355580329895,1.0,0.0,0.0,0.0,0.0,0.0,18.28926658630371,0
101415,0.1970819681882858,11.193362060652134,9,6,0.3642891347408294,12.60231876373291,0.8881986141204834,1.0581475496292114,-3.1241888999938965,0.7285782694816589,0.0,0.0,0.0,0.0,0.0,1.0,9.135093688964844,4
189191,0.1820782870054245,9.141202927415575,15,10,0.4404439032077789,18.76719093322754,0.4870842397212982,-1.5297170877456665,-2.759127616882324,0.8808878064155579,0.0,0.0,0.0,0.0,0.0,1.0,6.997189044952393,-4
186370,-0.0956928879022598,21.50799438203489,0,14,0.6245145201683044,16.12693214416504,1.3336693048477173,-0.6020767688751221,2.879149913787842,1.2490290403366089,1.0,0.0,0.0,0.0,0.0,0.0,20.342119216918945,-2
54111,-0.2474149167537689,11.45931080030914,0,6,0.4299558699131012,9.19404411315918,1.2463841438293457,-0.1422053575515747,-2.7243947982788086,0.8599117398262024,0.0,0.0,0.0,0.0,0.0,1.0,10.032546997070312,0
102770,-0.0506935678422451,15.054507848435604,0,10,0.6016281247138977,11.81553840637207,1.274127960205078,0.0880828648805618,2.9808943271636963,1.3865067958831787,0.0,0.0,0.0,0.0,0.0,0.0,16.187963485717773,0
45958,-0.2180032283067703,6.305439751631013,15,10,0.3710027635097503,15.119484901428224,0.4170406460762024,-1.4332928657531738,2.957801103591919,0.7420055270195007,0.0,0.0,0.0,0.0,0.0,0.0,5.904085636138916,-4
29467,0.2371393591165542,14.029146833216544,0,10,0.5006806254386902,15.236401557922363,0.9207651019096376,0.9122557640075684,2.8623709678649902,1.0013612508773804,0.0,0.0,0.0,0.0,0.0,0.0,14.011643409729004,4
115729,0.0892930030822753,11.264232568394618,0,6,0.5047529339790344,8.713325500488281,1.2927592992782593,0.1737135201692581,2.560839891433716,1.0095058679580688,0.0,0.0,0.0,0.0,0.0,0.0,11.573623657226562,0
202193,0.2180032283067703,6.305439751631013,15,10,0.3710027635097503,15.119484901428224,0.4170406460762024,1.4332928657531738,-2.957801103591919,0.7420055270195007,0.0,0.0,0.0,0.0,0.0,0.0,5.904085636138916,4
165973,0.226233497262001,13.208366326700514,0,10,0.6074283719062805,14.828143119812012,0.8907633423805237,-0.991695761680603,-2.492246389389038,1.214856743812561,1.0,0.0,0.0,0.0,0.0,0.0,14.409028053283691,-4
218479,-0.1532041281461715,3.946927055535099,3,2,0.28119957447052,4.469301700592041,0.8831194043159485,-0.7381179332733154,-2.8154308795928955,0.56239914894104,0.0,0.0,0.0,0.0,0.0,1.0,2.828122138977051,-2
199649,0.1738377958536148,11.8223068142579,0,10,0.3821183145046234,11.332271575927734,1.0432424545288086,-0.7018653154373169,3.074802160263061,0.7642366290092468,0.0,0.0,0.0,0.0,0.0,1.0,10.595840454101562,-2
169229,-0.1011017113924026,15.470379718939512,0,14,0.2389189600944519,11.302288055419922,1.3687829971313477,-0.2430807650089264,-2.585579395294189,0.4778379201889038,0.0,0.0,0.0,0.0,0.0,1.0,13.732277870178224,0
141634,0.0541407652199268,17.776948011518016,0,10,0.635089099407196,13.911212921142578,1.2778862714767456,-0.4574662446975708,-2.4227898120880127,1.6175131797790527,1.0,0.0,0.0,0.0,0.0,0.0,22.995473861694336,-2
240755,-0.1606641858816146,20.766102373457898,0,0,0.6167452931404114,15.820905685424805,1.3125735521316528,-0.1581594496965408,-1.3863930702209473,1.2334905862808228,1.0,0.0,0.0,0.0,0.0,0.0,23.810794830322266,0
56126,-0.2007775455713272,11.36720939086399,0,6,0.6019130945205688,8.925044059753418,1.2736306190490725,0.1037008315324783,3.0879180431365967,1.550413727760315,0.0,0.0,0.0,0.0,0.0,0.0,10.687174797058104,0
1394,0.0659475624561309,15.805568982605791,0,10,0.4014424085617065,12.402161598205566,1.2744204998016355,0.5135570764541626,-3.08591628074646,0.8028848171234131,0.0,0.0,0.0,0.0,0.0,0.0,13.890331268310549,0
110213,0.0114453360438346,19.038059106388573,0,0,0.5443894863128662,24.133581161499023,0.7888617515563965,-1.0603883266448977,-3.002635717391968,1.0887789726257324,1.0,0.0,0.0,0.0,0.0,0.0,20.17015838623047,-6
210862,0.1894454210996627,16.68491622845977,0,10,0.5883803367614746,13.757171630859377,1.2128158807754517,0.284961074590683,2.258741855621338,1.3209010362625122,0.0,0.0,0.0,0.0,0.0,1.0,15.257328987121582,2
224875,0.24775131046772,7.701464548235037,9,6,0.4094388484954834,10.152983665466309,0.758542001247406,1.4534441232681274,2.1811282634735107,0.8188776969909668,0.0,0.0,0.0,0.0,0.0,1.0,7.776711463928223,2
91669,-0.146457701921463,16.20785166447763,0,10,0.5880817174911499,13.152907371520996,1.2322638034820557,0.1786008477210998,-2.280124425888061,1.3087059259414673,0.0,0.0,0.0,0.0,0.0,1.0,14.874397277832031,0
161656,0.0453629270195961,25.22857054886572,0,0,0.5824885368347168,19.08991813659668,1.3215651512145996,-0.3568085432052612,3.1352906227111816,1.1649770736694336,1.0,0.0,0.0,0.0,0.0,0.0,28.971466064453125,-2
125317,-0.2485745698213577,11.710403418378178,0,10,0.6341791749000549,10.190766334533691,1.1491190195083618,-0.7182131409645081,-2.8778693675994877,1.3023420572280884,0.0,0.0,0.0,0.0,0.0,0.0,12.626843452453612,-2
233661,0.1420268267393112,11.59545981696698,21,14,0.193818986415863,29.51494407653809,0.3928674161434173,1.3859740495681765,2.189635753631592,0.3876379728317261,0.0,0.0,0.0,0.0,0.0,0.0,10.698064804077148,8
96680,-0.0559119433164596,13.991626921169882,15,10,0.645323634147644,11.17490291595459,1.252058029174805,0.585305392742157,-1.7999508380889893,1.41886568069458,1.0,0.0,0.0,0.0,0.0,0.0,13.189019203186035,2
6013,-0.1170993745326995,9.103457787698003,9,6,0.3841856122016907,7.770360469818115,1.17156183719635,-0.4915146827697754,-2.6815085411071777,0.7683712244033813,0.0,0.0,0.0,0.0,0.0,1.0,7.80134105682373,0
73988,0.0069399890489876,9.537899361224843,9,6,0.2305164635181427,8.40788459777832,1.1343994140625,-0.586643397808075,-2.590688705444336,0.4610329270362854,0.0,0.0,0.0,0.0,0.0,1.0,8.954989433288574,0
218739,0.1012386977672576,10.706434672060595,9,6,0.2295407652854919,10.648157119750977,1.005473017692566,0.9529362916946412,2.546097040176392,0.4590815305709839,0.0,0.0,0.0,0.0,0.0,1.0,9.546642303466797,2
242108,0.1073679774999618,19.52359781191308,0,14,0.35679692029953,22.255313873291016,0.8772555589675903,1.0757309198379517,-2.796087741851806,0.7135938405990601,1.0,0.0,0.0,0.0,0.0,0.0,21.11940574645996,6
52913,-0.2423319220542907,12.205544776801844,9,6,0.5886905789375305,12.92214012145996,0.9445451498031616,-0.8134995698928833,3.138781785964966,1.262581706047058,0.0,0.0,1.0,0.0,0.0,0.0,10.611348152160645,-4
18576,-0.163237988948822,12.949621846687478,0,10,0.4246604442596435,9.529090881347656,1.3589566946029663,-0.5628858208656311,2.7859411239624023,0.8493208885192871,1.0,0.0,0.0,0.0,0.0,0.0,12.794225692749023,-2
81673,-0.0177642703056335,9.789413748180325,15,10,0.2550895810127258,22.365747451782227,0.4376966953277588,-1.3444589376449585,-2.709991931915283,0.5101791620254517,0.0,0.0,0.0,0.0,0.0,1.0,8.016815185546875,-6
6926,-0.0418859086930751,8.633753753680821,3,2,0.5418837666511536,5.269216537475586,1.6385270357131958,0.0140421576797962,2.755117893218994,1.0837675333023071,0.0,0.0,0.0,0.0,0.0,1.0,7.803494453430176,0
101739,0.150002583861351,22.43677019554661,0,18,0.564652144908905,15.32967472076416,1.4636168479919434,-0.5729368925094604,2.787243604660034,1.12930428981781,1.0,0.0,0.0,0.0,0.0,0.0,19.00844383239746,-2
88833,-0.1432862430810928,8.90532311007621,15,10,0.4859442114830017,13.156396865844728,0.6768816113471985,-1.108187556266785,-2.3463656902313232,0.9718884229660034,0.0,0.0,0.0,0.0,0.0,0.0,9.736565589904783,-4
131500,-0.1943542957305908,18.14894922890926,0,0,0.6068601608276367,14.149276733398438,1.2826768159866333,0.1334694325923919,1.739765763282776,1.3374090194702148,1.0,0.0,0.0,0.0,0.0,0.0,23.502668380737305,0
52411,-0.1902372688055038,7.717765221749914,15,10,0.2906738817691803,18.11327171325684,0.4260834455490112,1.6372400522232056,2.3435709476470947,0.5813477635383606,0.0,0.0,0.0,0.0,0.0,0.0,7.239652156829834,4
207957,0.1515272110700607,14.802014391225155,0,10,0.611997127532959,12.715242385864258,1.1641157865524292,-0.5827794671058655,2.3437061309814453,1.4658894538879397,0.0,0.0,0.0,0.0,0.0,0.0,14.763646125793455,-2
125841,-0.2266410291194915,10.296247248889811,15,10,0.4417819678783417,6.145383834838867,1.6754441261291504,-1.1833486557006836,-3.0373077392578125,0.8835639357566833,1.0,0.0,0.0,0.0,0.0,0.0,7.374343872070312,0
111706,-0.2142394781112671,14.191231128595971,15,10,0.3931026458740234,10.790507316589355,1.3151588439941406,-0.4591979682445526,3.051567316055298,0.7862052917480469,0.0,0.0,0.0,0.0,0.0,1.0,11.352017402648926,0
136017,-0.0175487175583839,13.967440585683107,0,10,0.471136212348938,11.121755599975586,1.255866527557373,0.3706035912036896,2.0388917922973637,0.942272424697876,0.0,0.0,0.0,0.0,0.0,0.0,16.35539436340332,0
96012,0.196169912815094,12.64417609768907,0,10,0.591439425945282,10.22497272491455,1.2365975379943848,-0.2024313956499099,2.4167187213897705,1.2255985736846924,0.0,0.0,0.0,0.0,0.0,1.0,10.999980926513672,0
136062,-0.0186056345701217,16.178197565641426,0,10,0.5857406258583069,14.05140781402588,1.1513577699661257,-0.4877896606922149,2.775232076644897,1.1714812517166138,0.0,0.0,0.0,0.0,0.0,1.0,15.514386177062988,-2
17238,0.2011654525995254,20.90920759649339,0,14,0.6140391230583191,13.979063987731934,1.4957516193389893,-0.2091504335403442,-2.7441084384918213,1.2280782461166382,1.0,0.0,0.0,0.0,0.0,0.0,20.650102615356445,0
232198,0.1523151248693466,15.917265971259894,0,14,0.3971227407455444,15.65095043182373,1.0170159339904783,-1.1886385679244995,-2.853201389312744,0.7942454814910889,1.0,0.0,0.0,0.0,0.0,0.0,16.873125076293945,-2
172,0.186162918806076,12.287363066134276,0,10,0.6501962542533875,10.71575164794922,1.1466636657714844,0.7926692366600037,2.648319721221924,1.3090684413909912,0.0,0.0,0.0,0.0,0.0,0.0,11.16339111328125,2
11502,-0.1792347878217697,11.818972075843703,9,6,0.6122564673423767,8.492827415466309,1.391641616821289,-0.033539917320013,-1.634690284729004,1.2245129346847534,0.0,0.0,0.0,0.0,0.0,0.0,12.029086112976074,0
222037,0.1798299103975296,12.842865439065465,0,14,0.2825252413749695,17.66988754272461,0.7268221378326416,1.033865213394165,2.093045473098755,0.565050482749939,0.0,0.0,0.0,0.0,0.0,1.0,13.41984748840332,4
216706,-0.191263347864151,10.002988206985378,9,6,0.5735912919044495,7.108428001403809,1.4072011709213257,0.1045056581497192,-2.792837619781494,1.147182583808899,0.0,0.0,0.0,0.0,0.0,0.0,8.901516914367676,0
194366,-0.1163409054279327,9.358843825883014,9,6,0.1778193116188049,8.510993957519531,1.0996181964874268,0.6643198132514954,-2.2971041202545166,0.3556386232376098,0.0,0.0,0.0,0.0,0.0,1.0,9.115906715393066,2
135759,0.1152510344982147,10.414746370592807,0,6,0.1562333703041076,11.856722831726074,0.878383219242096,1.0744420289993286,-2.1337475776672363,0.3124667406082153,0.0,0.0,0.0,0.0,0.0,1.0,9.76848602294922,4
69304,0.0531425885856151,12.099417772026754,0,6,0.4108050465583801,9.955955505371094,1.2152944803237915,-0.3163208663463592,2.6170542240142822,0.8216100931167603,0.0,0.0,0.0,0.0,0.0,1.0,11.349313735961914,-2
151890,-0.1909988075494766,16.241264002631397,0,14,0.6416110396385193,15.044997215270996,1.079512596130371,-0.8485532402992249,2.559464931488037,1.330795407295227,0.0,0.0,0.0,0.0,0.0,1.0,16.355566024780273,-2
185150,-0.0412195324897766,23.16251932000705,0,10,0.4126982986927032,18.780017852783203,1.2333598136901855,-0.6061968207359314,-3.113689422607422,0.8253965973854065,1.0,0.0,0.0,0.0,0.0,0.0,22.805269241333008,-4
57334,0.0665476024150848,14.141393442153912,0,10,0.6655513048171997,9.937641143798828,1.4230130910873413,-0.1563152074813842,2.8303260803222656,1.3394008874893188,1.0,0.0,0.0,0.0,0.0,0.0,13.193516731262209,0
229800,-0.0470980443060398,8.723872219602981,0,10,0.5061573386192322,8.843761444091797,0.9864436388015748,-1.1161694526672363,-1.694734811782837,1.0123146772384644,0.0,0.0,0.0,0.0,0.0,0.0,8.689986228942871,-2
129339,0.052048984915018,11.37032645900581,9,6,0.4512619972229004,10.371566772460938,1.0962978601455688,-0.7689217925071716,-2.084998846054077,0.9025239944458008,0.0,0.0,0.0,0.0,0.0,1.0,11.167024612426758,-2
237946,0.1019110679626464,9.624591241812368,15,10,0.4271889626979828,9.57802677154541,1.00486159324646,0.8821641802787781,2.798848390579224,0.8543779253959656,0.0,0.0,0.0,0.0,0.0,0.0,9.948046684265137,2
58131,0.2402370423078537,20.263953893600277,0,14,0.5649953484535217,19.56867027282715,1.0355304479599,-1.1069141626358032,3.1287107467651367,1.1299906969070437,1.0,0.0,0.0,0.0,0.0,0.0,20.01360893249512,-4
125791,-0.2013859748840332,20.30023514051481,0,0,0.5134198665618896,17.141902923583984,1.184246301651001,-0.4244206249713897,-2.763972282409668,1.0268397331237793,0.0,0.0,0.0,0.0,0.0,1.0,20.877674102783203,-2
211680,0.0709949657320976,18.435430757823724,0,14,0.4672503173351288,18.361576080322266,1.004022240638733,-1.1734894514083862,-2.8777196407318115,0.9345006346702576,0.0,0.0,0.0,0.0,0.0,0.0,14.598426818847656,-4
102913,-0.1650944054126739,15.791898326036971,0,10,0.4327363967895508,12.418724060058594,1.2716200351715088,0.1951975226402282,-3.121856689453125,0.8654727935791016,0.0,0.0,0.0,0.0,0.0,0.0,15.13807201385498,0
240275,-0.2228755801916122,16.89312422321791,0,10,0.6430114507675171,13.202116012573242,1.2795770168304443,0.5073636174201965,-1.7839082479476929,1.4060686826705933,1.0,0.0,0.0,0.0,0.0,0.0,17.98949432373047,2
180943,0.148437887430191,22.98521487777816,0,0,0.5046300888061523,19.204246520996094,1.196881890296936,0.4109921455383301,2.1284470558166504,1.009260177612305,1.0,0.0,0.0,0.0,0.0,0.0,24.621198654174805,2
215440,0.0238339249044656,8.198232245669033,9,6,0.5152894854545593,6.09788703918457,1.3444381952285769,0.2265718877315521,1.874679684638977,1.0305789709091189,0.0,0.0,0.0,0.0,0.0,0.0,7.40676736831665,0
62184,0.1028108745813369,12.306400493680712,0,6,0.6346343755722046,10.159513473510742,1.2113178968429563,-0.6099144220352173,-2.1351046562194824,1.7379294633865356,0.0,0.0,0.0,1.0,0.0,0.0,9.531879425048828,-2
4790,-0.0303686168044805,11.968679367086793,0,14,0.2984234392642975,8.24377727508545,1.4518440961837769,-0.0596922487020492,2.663433313369751,0.596846878528595,0.0,0.0,0.0,0.0,0.0,0.0,10.378901481628418,0
64746,0.1431710124015808,14.61952672821826,0,10,0.6373535990715027,11.092750549316406,1.3179352283477783,-0.3467177450656891,2.5519490242004395,1.3010308742523191,0.0,0.0,0.0,0.0,0.0,0.0,14.313241004943848,0
177908,-0.0694943442940712,11.166385910651345,0,10,0.3812547028064728,8.765631675720215,1.2738826274871826,-0.2755849659442901,-2.0594165325164795,0.7625094056129456,0.0,0.0,0.0,0.0,0.0,0.0,13.994927406311035,0
37475,-0.1744368970394134,20.589357453325192,0,10,0.6378514170646667,15.11104965209961,1.3625365495681765,0.0628195405006408,-2.332653760910034,1.568833351135254,1.0,0.0,0.0,0.0,0.0,0.0,19.859655380249023,0
224509,0.0338204875588417,11.205579741618408,0,6,0.2890427410602569,9.517416954040527,1.1773761510849,-0.4561772048473358,2.290768384933472,0.5780854821205139,0.0,0.0,0.0,0.0,0.0,1.0,10.47618579864502,-2
38596,-0.1909898519515991,6.877823336584413,15,10,0.2928755283355713,16.371553421020508,0.4201081693172455,-1.801454782485962,1.6794447898864746,0.5857510566711426,0.0,0.0,0.0,0.0,0.0,0.0,5.638772964477539,-4
22645,-0.1678607314825058,15.83778976685403,0,14,0.4822219312191009,16.67716407775879,0.9496692419052124,1.0289860963821411,-2.8643100261688232,0.964443862438202,0.0,0.0,0.0,0.0,0.0,0.0,15.96022891998291,4
144960,0.2253094464540481,11.49256573563423,0,6,0.265064001083374,9.750597953796388,1.1786524057388306,0.5589277148246765,2.684497356414795,0.530128002166748,0.0,0.0,0.0,0.0,0.0,1.0,11.987177848815918,0
222643,0.2482721954584121,18.277992566280773,15,10,0.4722032248973846,12.459247589111328,1.467022180557251,-0.1522432267665863,3.1213254928588867,0.9444064497947692,1.0,0.0,0.0,0.0,0.0,0.0,15.70684051513672,0
143070,0.2193414568901062,10.726077491726755,0,6,0.358618289232254,9.737930297851562,1.101474046707153,-0.7605862021446228,-3.0038654804229736,0.7172365784645081,0.0,0.0,0.0,0.0,0.0,1.0,10.26467514038086,0
143903,0.0782808065414428,13.642905420883269,0,14,0.2456975579261779,17.798009872436523,0.766541063785553,-1.0832979679107666,-2.5324745178222656,0.4913951158523559,0.0,0.0,0.0,0.0,0.0,0.0,12.886675834655762,-4
221459,-0.2343353033065796,15.854163747540042,0,14,0.5957416296005249,12.56369400024414,1.2619030475616455,0.0577164106070995,2.191164255142212,1.4005937576293943,0.0,0.0,0.0,0.0,0.0,0.0,15.37168025970459,0
133667,0.0306391827762126,9.056948826207927,9,6,0.4296451508998871,5.807235240936279,1.559597373008728,-1.109591722488403,-3.1134297847747803,0.8592903017997742,0.0,0.0,0.0,0.0,0.0,0.0,6.909110069274902,0
150962,0.088078923523426,9.397349281714469,15,10,0.3736239373683929,7.082972526550293,1.3267521858215332,-0.0880347788333892,-2.7074263095855717,0.7472478747367859,0.0,0.0,0.0,0.0,0.0,1.0,11.853666305541992,0
66826,0.0071003353223204,19.06432456433004,0,14,0.4772501587867737,16.29839515686035,1.1697056293487549,-1.0308730602264404,-2.942477226257324,0.9545003175735474,1.0,0.0,0.0,0.0,0.0,0.0,16.509502410888672,-2
210968,0.0725348964333534,8.674176830865008,9,6,0.4925497472286224,8.724185943603516,0.994267761707306,0.7570012211799622,-2.9501960277557373,0.9850994944572448,0.0,0.0,0.0,0.0,0.0,1.0,7.4752373695373535,2
119882,0.0625504404306411,17.156442975218397,0,14,0.6138651967048645,21.43219757080078,0.8004985451698303,-1.0322946310043335,-2.9450857639312744,1.265066623687744,0.0,0.0,0.0,0.0,0.0,0.0,19.088111877441406,-6
136766,-0.2493308335542678,14.200853712820276,0,10,0.6229150295257568,11.39779567718506,1.2459298372268677,0.7254693508148193,1.3373945951461792,1.2458300590515137,1.0,0.0,0.0,0.0,0.0,0.0,14.591509819030762,2
163222,-0.1114748418331146,13.29772152758494,0,10,0.5907818078994751,13.455634117126465,0.9882642030715942,-0.7678537964820862,-2.896923303604126,1.1965075731277466,0.0,0.0,0.0,0.0,0.0,1.0,12.376615524291992,-2
30049,-0.2342788726091385,14.589954274082402,0,10,0.5323383808135986,11.62039852142334,1.255546808242798,0.5903701186180115,-2.774326801300049,1.0646767616271973,0.0,0.0,0.0,0.0,0.0,0.0,15.124810218811035,2
34042,-0.0911954417824745,12.63805597415194,0,6,0.475941002368927,10.343269348144531,1.22186279296875,0.4262613952159881,-2.997145414352417,0.951882004737854,0.0,0.0,0.0,0.0,0.0,0.0,12.421630859375,2
179878,-0.0608304962515831,15.46767720637331,0,10,0.5985749959945679,13.296168327331545,1.163318395614624,0.509325385093689,-2.3981213569641118,1.3307799100875854,0.0,0.0,0.0,0.0,0.0,0.0,13.706880569458008,2
156211,0.0477504916489124,15.880365779696604,0,10,0.4653206765651703,13.719416618347168,1.1575102806091309,0.6783615946769714,-2.966418981552124,0.9306413531303406,0.0,0.0,0.0,0.0,0.0,0.0,15.704629898071287,2
57432,-0.0419286862015724,13.108157730845846,0,14,0.6063123941421509,19.15329933166504,0.6843811869621277,-1.230989694595337,1.0446274280548096,1.2126247882843018,0.0,0.0,0.0,0.0,0.0,0.0,14.195307731628418,-6
137538,0.1074490994215011,16.118041344304856,0,14,0.678711473941803,10.872936248779297,1.4824000597000122,-0.0973578318953514,-2.3037829399108887,1.357422947883606,1.0,0.0,0.0,0.0,0.0,0.0,16.8120059967041,0
110779,-0.1034156531095504,4.726064179169697,9,6,0.2188716232776641,7.31162691116333,0.6463765501976013,-1.4130806922912598,1.2793678045272827,0.4377432465553283,0.0,0.0,0.0,0.0,0.0,0.0,4.056860446929932,-2
21145,0.0192099101841449,17.1111910773227,0,10,0.6872845888137817,15.021978378295898,1.139077067375183,-0.9779579043388368,2.39536190032959,1.3745691776275637,0.0,0.0,0.0,0.0,0.0,0.0,17.343605041503906,-4
39296,0.2309179306030273,13.415488246878567,21,14,0.2363805323839187,16.69406509399414,0.803608238697052,-1.1609575748443604,-2.33109712600708,0.4727610647678375,1.0,0.0,0.0,0.0,0.0,0.0,13.280349731445312,-4
107855,-0.1279576867818832,25.0196823446081,0,14,0.3947048485279083,19.64310836791992,1.273712992668152,0.5385136604309082,-2.24002456665039,0.7894096970558167,1.0,0.0,0.0,0.0,0.0,0.0,28.19143486022949,4
79721,0.1735818535089492,11.647339229581576,0,6,0.6246227622032166,8.744279861450195,1.3319952487945557,0.0148379653692245,2.40372371673584,1.2852327823638916,0.0,0.0,0.0,0.0,0.0,1.0,10.561017036437988,0
16305,0.1124361082911491,13.301254971813137,15,10,0.4458314478397369,16.449384689331055,0.8086171746253967,1.193785309791565,-0.9862268567085266,0.8916628956794739,0.0,0.0,0.0,0.0,0.0,0.0,12.980360984802246,4
174632,-0.0895740687847137,11.113075733161397,9,6,0.4856217801570892,11.984623908996582,0.9272778034210204,-1.0116461515426636,-2.782437801361084,0.9712435603141784,0.0,0.0,1.0,0.0,0.0,0.0,8.773457527160645,-4
103674,0.1163409054279327,9.358843825883014,0,6,0.1778193116188049,8.510993957519531,1.0996181964874268,-0.6643198132514954,2.2971041202545166,0.3556386232376098,0.0,0.0,0.0,0.0,0.0,1.0,9.115906715393066,-2
209204,0.1938838958740234,13.306140537338592,0,10,0.6258325576782227,12.330334663391112,1.0791386365890503,0.7859055995941162,2.4385459423065186,1.3379148244857788,0.0,0.0,0.0,0.0,0.0,0.0,14.969433784484863,2
